name;qty;"price normal";"price sale"
"Кейс «Расколотая сеть»";38774;0,75;0,72
"Оружейный кейс операции «Прорыв»";143968;0,43;0,42
"CS20 Case";208544;0,15;0,14
"Перчаточный кейс";345337;0,16;0,15
"AWP | Древесная гадюка (После полевых испытаний)";1107;4,89;4,68
"AK-47 | Красная линия (После полевых испытаний)";1433;14,42;13,80
"Кейс «Решающий момент»";923856;0,06;0,05
"Оружейный кейс операции «Феникс»";85532;0,40;0,39
"Кейс «Запретная зона»";345839;0,07;0,06
"FAMAS | Ночной Борре (После полевых испытаний)";342;0,10;0,09
"AK-47 | Снежный вихрь (После полевых испытаний)";270;17,60;16,84
"MAC-10 | Карамельное яблоко (Немного поношенное)";1870;0,14;0,13
"Ключ от кейса операции «Феникс»";78;5,76;5,51
"AK-47 | Азимов (После полевых испытаний)";153;35,00;33,48
"M4A4 | Безлюдный космос (После полевых испытаний)";188;13,08;12,52
"Особый агент Ава | ФБР";527;13,41;12,83
"Хромированный оружейный кейс";29842;0,39;0,38
"Кейс «Спектр»";427906;0,08;0,07
"AWP | Мортис (После полевых испытаний)";792;4,30;4,12
"Наклейка | Золотая сеть (металлическая)";1375;2,71;2,60
"AWP | Дикое пламя (После полевых испытаний)";68;68,04;65,09
"«Доктор» Романов | Кавалерия";559;9,73;9,31
"Кейс операции «Браво»";479;23,31;22,30
"USP-S | Извилины (После полевых испытаний)";424;6,00;5,74
"Кейс «Призма»";369139;0,05;0,04
"AK-47 | Императрица (После полевых испытаний)";105;44,06;42,15
"AK-47 | Колымага (После полевых испытаний)";444;3,77;3,61
"AWP | Древесная гадюка (Немного поношенное)";481;7,39;7,07
"Хромированный кейс #2";370335;0,07;0,06
"AUG | Дворник (После полевых испытаний)";7749;0,04;0,03
"AK-47 | Кровавый спорт (После полевых испытаний)";88;47,68;45,61
"AK-47 | Затерянная земля (После полевых испытаний)";7287;0,62;0,60
"AWP | Горячечные грёзы (После полевых испытаний)";359;6,33;6,06
"Кейс «Спектр 2»";1744842;0,04;0,03
"USP-S | Сайрекс (Немного поношенное)";543;2,99;2,86
"Третья рота коммандо | KSK";944;4,10;3,93
"AWP | Азимов (После полевых испытаний)";191;72,05;68,92
"Glock-18 | Дух воды (После полевых испытаний)";335;5,58;5,34
"Гамма-кейс #2";537109;0,05;0,04
"M4A4 | Император (После полевых испытаний)";113;29,55;28,27
"USP-S | Сайрекс (После полевых испытаний)";1223;2,15;2,06
"Солдат SEAL Team 6 | NSWC SEAL";1136;2,84;2,72
"Бакшот | NSWC SEAL";1459;1,44;1,38
"Хромированный кейс #3";823071;0,04;0,03
"Кейс «Горизонт»";1087083;0,04;0,03
"Капсула с автографом | Легенды | Берлин 2019";403702;0,42;0,41
"Desert Eagle | Механо-пушка (После полевых испытаний)";209;5,34;5,11
Гамма-кейс;284112;0,06;0,05
"Набор музыки | Scarlxrd — King, Scar";290;4,57;4,38
"Tec-9 | Ветеран (После полевых испытаний)";2481;0,11;0,10
"Револьвер R8 | Хватка (После полевых испытаний)";2647;0,10;0,09
"M4A1-S | Опустошитель (После полевых испытаний)";737;5,02;4,81
"Наклейка | Расколотая сеть";2292;0,13;0,12
"M4A1-S | Скоростной зверь (После полевых испытаний)";139;11,78;11,27
"Оружейный кейс CS:GO";339;18,13;17,35
"AK-47 | Элитное снаряжение (Немного поношенное)";1590;2,94;2,82
"AWP | Мортис (Немного поношенное)";262;5,72;5,48
"Элитный мистер Мохлик | Элитный отряд";484;5,75;5,50
"Черноволк | Кавалерия";526;4,22;4,04
"AK-47 | Элитное снаряжение (После полевых испытаний)";2084;2,12;2,03
"Наклейка | В паутине (голографическая)";1448;0,52;0,50
"Револьвер R8 | Брызги воды (После полевых испытаний)";974;0,09;0,08
"Desert Eagle | Рельсотрон (После полевых испытаний)";991;1,46;1,40
"USP-S | Взгляд в прошлое (После полевых испытаний)";1122;1,23;1,18
"AK-47 | Буйство красок (После полевых испытаний)";106;21,94;20,99
"StatTrak™ AK-47 | Затерянная земля (После полевых испытаний)";370;3,64;3,49
"AWP | Горячечные грёзы (Немного поношенное)";268;7,71;7,38
"AK-47 | Элитное снаряжение (Поношенное)";2559;1,54;1,48
"MAG-7 | Эхолот (После полевых испытаний)";1021;0,10;0,09
"AWP | Древесная гадюка (Поношенное)";673;3,76;3,60
"Оперативник | ФБР: SWAT";1412;1,28;1,23
"SG 553 | Баррикада (После полевых испытаний)";715;0,09;0,08
"USP-S | Извилины (Немного поношенное)";158;10,03;9,60
"M4A4 | Безлюдный космос (Поношенное)";143;12,19;11,66
"AWP | Красная линия (После полевых испытаний)";278;18,93;18,11
"Максимус | Кавалерия";1170;1,18;1,13
"Кейс «Фальшион»";108566;0,17;0,16
"AK-47 | Затерянная земля (Немного поношенное)";3229;0,87;0,84
"M4A1-S | Ночной кошмар (После полевых испытаний)";216;4,90;4,69
"USP-S | Неонуар (После полевых испытаний)";72;24,98;23,90
"Desert Eagle | Механо-пушка (Немного поношенное)";252;6,83;6,54
"Тёмный кейс";131354;0,10;0,09
"AWP | Азимов (Закалённое в боях)";236;43,17;41,30
"Оружейный кейс CS:GO, тираж #2";734;2,54;2,43
"MP9 | Пыльный осадок (Прямо с завода)";431;0,27;0,26
"AWP | ЛАПКИ (Немного поношенное)";422;3,30;3,16
"Капсула с автографом | Вернувшиеся претенденты | Берлин 2019";250429;0,41;0,40
"AK-47 | Императрица (Поношенное)";80;38,10;36,45
"AK-47 | Фиолетовое барокко (После полевых испытаний)";130;1,97;1,89
"«Дважды» Маккой | USAF TACP";545;2,18;2,09
"Наклейка | Преступный гений (голографическая)";1676;0,42;0,41
"AK-47 | Колымага (Поношенное)";281;3,71;3,55
"Резан Готовый | Кавалерия";335;4,10;3,93
"AWP | Гадюка (После полевых испытаний)";1725;1,22;1,17
"Капитан 3-го ранга Риксоу | NSWC SEAL";341;5,90;5,65
"Драгомир | Кавалерия";1020;1,26;1,21
"AWP | ЛАПКИ (После полевых испытаний)";525;2,21;2,12
"AK-47 | Африканская сетка (После полевых испытаний)";21234;0,24;0,23
"M4A4 | Император (Немного поношенное)";40;76,87;73,53
"AWP | Фобос (Немного поношенное)";603;2,32;2,22
